"치매센터명","치매센터유형","소재지도로명주소","소재지지번주소","위도","경도","설립년월","건축물면적","부대시설정보","의사인원수","간호사인원수","사회복지사인원수","기타인원현황","운영기관명","운영기관대표자명","운영기관전화번호","운영위탁일자","주요치매관리프로그램소개","관리기관전화번호","관리기관명","데이터기준일자","제공기관코드","제공기관기관명","제공기관명","작업일시"
"금천구치매안심센터","치매안심센터","서울특별시 금천구 시흥대로 123길 11 독산1동 주민센터 6층 7층","서울특별시 금천구 독산동 289-5","37.4702190458","126.8970437257","2009-09","748.1","사무실1(센터장실1)+상담실(5)+기억키움학교1+프로그램실4+휴개살1+가족카페1+화장실4","1","8","3","운동처방사1+작업치료사3","고려대학교 구로병원","병원장 한승규","02-3281-9082","2020-01-01","예방 및 인식개선 사업 조기검진 사업등록관리사업치매치료관리비 지원사업 지역사회 자원 강화사업","02-2627-2215","서울특별시 금천구 보건소","2020-12-10","","","","2021-04-14 17:59:40.0"
"강서구치매안심센터","치매안심센터","서울특별시 강서구 화곡로 371 경향교회선교관 3층","서울특별시 강서구 화곡로 371 경향교회선교관 3층","37.556963","126.852184","2009-09","630","","1","10","5","운동처방사(2)+작업치료사(7)+음악치료사(1명)","학교법인 이화학당","정지향","02-3663-0943","2020-01-01","무료치매검진 및 진단 치매예방교육 치매예방인지재활프로그램 치매가족지지 프로그램 등","02-2600-5877","서울특별시 강서구청","2021-03-22","","","","2021-04-14 17:59:40.0"
"강북구치매지원센터","치매안심센터","서울특별시 강북구 삼양로19길 154 삼각산분소 2층","서울특별시 강북구 미아동 1353-8","37.6170464839","127.0156528","2009-08","1604","사무실프로그램실검진실강당주차장 등","1","7","3","3","강북구치매지원센터","박건우","02-991-9830","2009-07-28","조기검진 쉼터 가족지원 인식개선 등치매검진 치매치료비 조호물품 배회인식표 가족모임 인지건강센터 기억친구 등","02-901-7755","강북구보건소 지역보건과","2020-09-17","","","","2021-04-14 17:59:40.0"
"서울특별시 구로구 치매안심센터","치매안심센터","서울특별시 구로구 디지털로 243 2층 (지-하이시티 빌딩)","서울특별시 구로구 구로동 237","37.48199097","126.892351","2009-07","530.25","검진실 가족쉼터 및 카페 프로그램실 등","1","10","3","6","고려대학교 구로병원","김준형","02-2626-2261","2021-01-01","정상 고위험 치매 프로그램 및 인지프로그램 운영 등","02-860-3273","서울특별시 구로구 보건소","2021-02-21","","","","2021-04-14 17:59:40.0"
"종로구 치매안심센터","치매안심센터","서울특별시 종로구 평창문화로 50","서울특별시 종로구 평창동 235-2","37.60542184","126.9669268","2009-06","475.52","사무실(1)+가족카페(1)+기억키움학교(1)+프로그램실(1)+진료실(1)+검진실(2)+강당(1)+서고(1)+화장실(4)","1","4","4","팀장(1)+작업치료사(4)+운동처방사(1)","서울대학교병원","박지은","02-3675-9001","2018-01-01","치매예방 및 인식개선사업치매조기검진 사업치매예방등록관리 사업저소득층 치매치료비 및 원인확진검사비 지원 사업치매지역사회자원강화 사업 등","02-2148-3602","서울특별시 종로구보건소","2020-07-03","","","","2021-04-14 17:59:40.0"
"광진구치매안심센터","치매안심센터","서울특별시 광진구 긴고랑로 110 중곡종합건강센터 3층","서울특별시 광진구 중곡동 125-11 중곡종합건강센터 3층","37.55933917","127.0870892","2009-03","328.43","상담실(2) 진료실(1) 센터장실(1) 탕비실(1)교육실(1) 인지프로그램실(1) 화장실2(장애인용1)","1","7","3","5","건국대학교병원","문연실","02-450-1381","2009-02-01","무료치매검사 인지프로그램운영 등","02-450-1966","서울특별시 광진구보건소","2020-12-18","","","","2021-04-14 17:59:40.0"
"서초구치매안심센터","치매안심센터","서울특별시 서초구 염곡말길 9 4층(염곡동 내곡느티나무쉼터)","서울특별시 서초구 염곡동 180-2","37.46182487","127.0506972","2008-09","801.12","사무실(1)+검진실(3)+교육상담실(1)+프로그램실(2)+쉼터기억키움학교(1)+교육실(1)+인지카페(1)+안심하우스(1)+준비실(1)","1","8","7","작업치료사(6)+건강운동관리사(1)+간호조무사(1)","가톨릭대학교서울성모병원","주수현","02-591-1833","2019-01-01","무료치매검사 인지건강프로그램 치매환자 가족교육 및 지지프로그램 치매 홍보서포터즈 운영 등","02-2155-8081","서울특별시 서초구보건소","2020-06-29","","","","2021-04-14 17:59:40.0"
"동대문구 치매안심센터","치매안심센터","서울특별시 동대문구 홍릉로 81","서울특별시 동대문구 청량리동 203-1","37.58751921","127.0427044","2008-04","567.58","프로그램실 상담실 진료실 기억키움학교 등","1","10","3","6","경희의료원","김종우","02-957-3062","2021-01-01","치매조기검진 치매환자 등록관리 치매환자 인지재활프로그램 가족치유 프로그램 기억키움학교 운영 등","02-2127-5194","서울특별시 동대문구보건소","2021-03-17","","","","2021-04-14 17:59:40.0"
"양천구치매안심센터","치매안심센터","서울특별시 양천구 남부순환로 407 4층(신월동 신월보건지소)","서울특별시 양천구 신월동 131-4 신월보건지소 4층","37.53133859","126.831824","2008-04","630.6","사무실(1)+상담실(1)+검진실(2)+진료실(1)+훈련실(3)+기억키움학교(1) 등","1","14","6","작업치료사(3) 운동치료사(1)","이화의대부속 목동병원","문병인","02-2698-8680","2008-03-27","치매검사 치매 상담 및 등록관리 치매가족지원 치매인식개선 인지강화 및 치매예방교실 운영 등","02-2620-4764","서울특별시 양천구청","2020-05-21","","","","2021-04-14 17:59:40.0"
"은평구치매안심센터","치매안심센터","서울특별시 은평구 연서로34길 11","서울특별시 은평구 불광동 130-2","37.6215461","126.9276912943","2008-03","520.78","","1","12","4","음악치료사 1작업치료사 2행정요원 1","가톨릭대학교 은평성모병원","심용수","02-388-8233","2020-01-01","치매 조기검진 및 등록관리 치료비 지원 및 사례관리 인지건강프로그램 운영 치매예방 교육 및 홍보","02-351-8682","서울특별시 은평구 보건소","2020-07-01","","","","2021-04-14 17:59:40.0"
"서울특별시송파구치매안심센터","치매안심센터","서울특별시 송파구 충민로 184","서울특별시 송파구 장지동 850-2","37.48578411","127.1341622","2008-03","682","사무실(1)+검진실(3)+프로그램실(4)+가족소모임실(1)+치매가족카페(1)","0","11","4","작업치료사(3)+임상심리사(1)","송파구보건소","김인국","02-2147-5050","","치매조기검진 치매인식개선 및 등록관리사업 쉼터 및 인지건강프로그램 운영 등","02-2147-2356","서울특별시 송파구청","2021-02-19","","","","2021-04-14 17:59:40.0"
"도봉구치매지원센터","치매상담전화센터","서울특별시 도봉구 마들로 650","서울특별시 도봉구 방학동720-33호도봉월드상가 4층","37.6680283466","127.0470649989","2008-02","701.96","상담실1 검진실3 프로그램실3 사무실1","1","6","2","2","도봉병원","오승용","02-955-3591","2017-01-01","치매환자의 등록?관리 ?치매의 예방?교육 및 홍보 치매조기검진","02-2091-4562","서울특별시 도봉구보건소","2019-09-30","","","","2021-04-14 17:59:40.0"
"강동구치매안심센터","치매안심센터","서울특별시 강동구 성내로 45","서울특별시 강동구 성내동 541-2","37.5295419850","127.1255855059","2007-09","682","","1","9","6","작업치료사(4)","강동성심병원","송홍기","02-489-1130","2019-01-01","치매예방및인식개선치매조기검진치매및고위험인지재활프로그램(인지건강센터)경증치매노인기억키움학교프로그램치매치료비지원치매지역자원강화 등","02-3425-6773","강동구보건소","2020-09-08","","","","2021-04-14 17:59:40.0"
"마포구치매지원센터","치매안심센터","서울특별시 마포구 대흥로 122","서울특별시 마포구 대흥동 38-22","37.5504068177","126.944249","2007-07","624","진료실 검진실 프로그램실 사무실 강당","1","14","5","5","가톨릭대학교서울성모병원","양동원","3272-1578","2018-01-01","치매예방및인식개선사업 치매조기검진사업 치매예방등록관리사업 치매치료비및원인확진검사비지원","3153-9062","마포구보건소건강증진과","2020-05-13","","","","2021-04-14 17:59:40.0"
"서울틀별시 성동구 치매안심센터","치매안심센터","서울특별시 성동구 왕십리로5길 3 (성수1가제2동 공공복합청사 5층)","서울특별시 성동구 성수동1가 685-580","37.5464030037","127.044380","2007-07","558.09","인지건강센터","1","10","4","4","서울특별시 서울의료원","허재혁","02-499-8071","2017-01-01","치매검진 치매예방등록관리 지역사회자원 강화","02-2286-7128","성동구보건소","2020-06-08","","","","2021-04-14 17:59:40.0"
"성북구치매안심센터","치매안심센터","서울특별시 성북구 화랑로63성북구보건소 5층","서울특별시 성북구 하월곡동 46-1호 성북구보건소 5층","37.60270967","127.0395315","2007-06","","사무실1 휴게실1 가족카페1 프로그램실4 검진실5 회의실1","1","13","2","6","건국대학교병원","유승호","02-918-2223","2020-01-01","등록관리 선별 정밀검진 치료비지원 원인확진검사비 지원 예방 및 재활 프로그램","02-2241-6137","성북구보건소 건강관리과","2020-07-09","","","","2021-04-14 17:59:40.0"
